nhse_ccg_code,ons_ccg_code,total_all,total_male,total_female,male_0_4,male_5_9,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_89,male_90_94,male_95,female_0_4,female_5_9,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_89,female_90_94,female_95
00C,E38000042,107615,53356,54259,3067,3306,3228,2864,2873,3314,3412,3481,3406,4005,4136,3649,3173,3040,2431,1772,1224,644,276,55,2822,3179,2995,2775,2901,3502,3415,3381,3407,3799,4025,3722,3069,3168,2609,2059,1649,1056,550,176
00D,E38000047,290764,144546,146218,7823,8546,8147,8125,8181,8769,8815,8508,8538,10775,11396,10430,9255,9077,7211,5085,3433,1733,580,119,7265,8142,7831,7485,8043,8870,8459,8437,8592,10682,11257,10543,9187,9371,7575,5746,4389,2780,1188,376
00J,E38000116,256683,126856,129827,6517,6882,6389,8081,10918,8815,8039,7484,7440,8975,9343,8181,7538,7280,6080,4149,2789,1383,466,107,6195,6621,6046,8202,11963,8218,7741,7369,7355,8897,9153,8383,7523,7648,6387,4808,3694,2240,1041,343
00K,E38000075,296092,146796,149296,8831,9556,8706,8522,9492,10030,9718,9066,8823,10535,10892,10136,8598,8148,6030,4383,3099,1626,501,104,8262,9185,8357,8219,9298,9723,9798,9003,8671,10467,11082,10232,8735,8374,6501,5250,4107,2586,1131,315
00L,E38000130,323238,158710,164528,7821,8726,8765,8522,8349,8726,8548,8431,9291,11184,12281,12025,11328,11607,9318,6157,4362,2232,873,164,7448,8220,8086,8131,7899,8464,8647,8855,9400,11786,12858,12595,11512,12223,9862,7252,5441,3585,1722,542
00M,E38000162,295140,148100,147040,8972,9455,8560,8360,10101,10897,10388,9239,8839,10015,10702,9943,8321,7908,6296,4645,3110,1670,570,109,8385,9020,8200,8057,9549,10157,9730,8535,8135,9822,10492,9747,8557,8268,6712,5496,4093,2578,1146,361
00N,E38000163,156365,78462,77903,4232,4405,4025,4087,4873,5567,5394,5057,4889,5849,6107,5635,4872,4483,3410,2447,1782,968,310,70,4001,4265,3900,3909,4388,5056,5203,4650,4438,5365,5869,5631,4809,4644,3630,3023,2447,1658,777,240
00P,E38000176,283951,141956,141995,7459,8108,7562,7746,9108,10429,9745,9005,8763,10724,10726,10138,8555,8039,6004,4432,3162,1661,469,121,6946,7845,7287,7264,9173,9763,9157,8445,8382,10102,10305,9786,8598,8407,6697,5389,4317,2668,1133,331
00Q,E38000014,173403,88041,85362,5928,6317,6070,5756,5907,6225,6455,6150,5995,6409,5889,5142,4307,3999,2970,2072,1416,723,261,50,5666,6130,5808,5357,5375,6098,6230,5717,5370,5906,5417,4882,4218,3879,3130,2391,1814,1232,563,179
00R,E38000015,172823,87388,85435,4719,4692,4648,4511,5036,5934,5643,5285,5289,6789,7267,6283,5147,5053,4261,3089,2099,1149,410,84,4435,4660,4264,4461,5108,5754,5471,4702,4820,6074,6424,5640,4859,5128,4347,3534,2844,1772,857,281
00T,E38000016,305964,154379,151585,10122,10822,9950,9514,9291,10578,10883,10362,10407,11539,10944,9317,7931,7804,6157,4248,2581,1318,518,93,9637,10199,9185,8595,8938,10792,10638,9816,9519,10619,10369,8899,7757,7950,6588,4847,3469,2279,1120,369
00V,E38000024,202045,100774,101271,6432,6764,6286,5685,5748,6657,6901,6780,6596,7426,7713,6546,5317,5465,4308,2897,1908,943,322,80,5928,6510,5880,5294,5592,6806,7017,6670,6392,7217,7319,6297,5415,5488,4660,3427,2698,1603,784,274
00W,E38000032,238218,125537,112681,7647,7703,6767,8074,13947,13196,12819,11892,9769,8803,7348,5515,3921,2722,1914,1572,1129,564,193,42,7263,7265,6517,8561,16700,12224,10652,8778,6699,6149,5482,4205,3174,2498,2004,1803,1382,866,354,105
00X,E38000034,181199,90310,90889,5250,5522,5072,4785,4673,5533,5763,5726,5968,6992,7126,6099,5264,5606,4589,3024,1932,943,365,78,4964,5179,4787,4448,4715,5773,5838,5537,5911,6851,6831,5934,5370,5696,4690,3459,2394,1514,758,240
00Y,E38000135,251660,125904,125756,8719,9207,8689,8099,7679,8722,8846,8480,8313,9217,8740,7613,6251,6024,4636,3297,2006,961,345,60,8467,9082,8353,7533,7568,9000,8916,8235,7543,8455,8271,7160,6226,6244,5192,3883,2774,1781,799,274
01A,E38000050,377854,189537,188317,11645,12443,11730,11161,10954,12650,12596,11874,11977,14139,13723,12392,10781,10949,8464,5571,3683,1963,683,159,11237,12028,10924,10350,10686,12670,12385,11590,11439,13142,13093,12008,10558,10880,8836,6287,4840,3265,1533,566
01C,E38000056,207218,102504,104714,5380,5939,5678,5267,4735,5380,5644,6250,6817,7939,8338,7445,6361,6685,5606,3875,2819,1575,618,153,5045,5585,5326,4947,4395,5387,5782,6272,6666,7996,8236,7228,6275,7012,6119,4565,3635,2534,1245,464
01D,E38000080,230092,115602,114490,7688,8169,7334,6917,6963,8071,8227,7955,7632,8529,8383,7118,6276,5785,4306,2949,1881,968,379,72,7270,7725,6928,6514,6881,8253,8344,7578,7027,7908,7592,7015,6142,5847,4652,3423,2611,1735,794,251
01E,E38000065,213291,106927,106364,6278,6677,6113,6202,8485,7661,7344,7032,7159,7728,7839,6648,5601,5200,4187,3003,2168,1117,390,95,6061,6388,5788,6106,8854,7647,7127,6520,6400,7355,7347,6469,5496,5311,4415,3491,2672,1795,867,255
01F,E38000068,130406,65162,65244,3912,4095,3931,3734,3883,4390,4474,4262,4300,4920,4871,4301,3789,3801,2698,1799,1165,596,200,41,3711,4022,3726,3575,3793,4394,4427,4118,4176,4630,4697,4409,3966,3907,2718,2015,1569,861,425,105
01G,E38000143,266783,135733,131050,8898,9079,7418,7184,9515,12452,12586,10689,8836,9358,9023,7743,6053,5668,4385,3170,2155,1054,383,84,8704,8376,7030,7370,10170,12428,11477,9065,7727,8147,8002,7051,5636,5690,4722,3720,2802,1773,875,285
01H,E38000041,522584,260389,262195,12644,13920,13617,13839,14374,15355,14795,14173,15171,18994,20867,19692,17138,18035,14787,10493,7002,3840,1373,280,11997,13148,12788,13053,13411,14604,14399,13768,14910,19297,20435,19072,17223,18449,15154,11756,9018,5936,2872,905
01J,E38000091,163244,80904,82340,5096,5045,4722,4742,5245,5956,5768,5042,4870,5817,6455,5990,4753,3816,2716,2243,1584,803,207,34,4637,4750,4507,4591,5287,6159,5860,4972,4618,5831,6349,5811,4786,4013,3100,2790,2219,1362,560,138
01K,E38000093,161222,80066,81156,4013,4395,3997,5638,7455,5342,5008,4752,4588,5356,5639,5123,4326,4547,3878,2717,1893,987,349,63,3963,4036,3839,5672,7879,4987,4836,4406,4291,5241,5478,5086,4470,4705,3998,3143,2463,1614,800,249
01M,E38000123,211481,108682,102799,7822,8079,6656,6005,7175,10228,10573,9241,7981,7658,6920,5614,4388,3653,2633,1886,1272,612,224,62,7509,7659,6638,5714,7784,11007,9718,7912,6355,6128,5696,5018,3838,3505,2754,2239,1673,1034,468,150
01N,E38000158,175268,88667,86601,5477,5498,4733,5118,8305,8156,8314,7475,6283,5988,5485,4777,3844,3350,2293,1568,1058,643,229,73,5254,5322,4605,5335,8915,8235,8159,6538,5230,5096,4983,4230,3593,3309,2468,1858,1564,1118,573,216
01R,E38000151,182633,91059,91574,4960,5526,4992,4936,5431,5778,5754,5492,5760,6938,7311,6222,5217,5350,4509,3170,2102,1129,398,84,4618,5118,4843,4876,5400,5549,5623,5279,5826,6859,6891,5977,5131,5667,4847,3530,2622,1808,829,281
01T,E38000161,154779,76533,78246,4394,4440,4004,4271,4582,5374,5055,4631,4577,5568,6050,5772,4770,4283,3239,2480,1766,906,302,69,4081,4147,3986,4073,4376,5325,5088,4513,4489,5462,6176,5632,4767,4408,3657,3129,2420,1649,661,207
01V,E38000170,123979,60520,63459,2785,3239,3231,3222,3093,3441,3447,3253,3441,4401,4737,4410,3911,4079,3491,2646,2081,1134,394,84,2633,3036,3068,3019,2956,3417,3266,3228,3495,4406,4771,4573,4077,4359,4112,3294,2723,1836,889,301
01W,E38000174,309069,153048,156021,9131,9534,8922,8162,8194,9827,10136,10560,10278,11560,11773,10097,8709,8397,6606,4832,3539,2001,671,119,9027,9038,8166,7597,7831,10163,10597,10439,9977,11238,11375,10131,8593,8661,7518,5808,4683,3237,1459,483
01X,E38000172,196305,97617,98688,5519,5758,5375,5474,5540,6180,6182,5912,6432,7507,7484,6660,5545,5906,4790,3512,2318,1108,364,51,5065,5587,5165,5018,5435,6308,6224,5799,6043,7447,7320,6392,5796,6190,5181,4059,2930,1735,741,253
01Y,E38000182,245804,122307,123497,7577,8072,6982,6796,7219,8380,8387,7762,7774,9528,9656,8254,6746,6702,5247,3478,2223,1056,375,93,7212,7720,6845,6516,7128,8652,8551,7819,7601,8961,9263,7986,6488,6813,5618,4230,2925,1921,910,338
02A,E38000187,239819,119154,120665,7355,8123,7548,6620,6226,7279,8343,8639,8668,9253,9039,7691,6130,5818,4539,3351,2566,1364,494,108,6977,7862,7184,6078,5841,7382,8547,8865,8403,8850,8752,7424,6088,6078,5219,4148,3381,2240,1005,341
02D,E38000189,104967,52445,52522,3045,3336,3014,2855,2918,3262,3299,3097,3447,4090,4277,3588,3202,3027,2495,1624,1034,589,213,33,2787,3113,2859,2650,2758,3250,3274,3107,3323,4080,4163,3595,3037,3158,2571,1876,1387,923,469,142
02E,E38000194,216335,108150,108185,6259,6753,6265,5979,6020,6770,7243,7227,7509,8574,8891,7346,5915,5678,4671,3316,2225,1072,368,69,5936,6427,5974,5694,5728,6945,7296,7105,7113,8250,8364,7075,5796,5876,5083,4036,2667,1713,834,273
02F,E38000196,261271,129023,132248,6822,7324,6885,6961,7771,8269,7976,7935,8019,9842,10069,9079,7677,7774,6363,4675,3151,1700,591,140,6363,6942,6649,6961,8360,8198,8153,7784,8076,9356,9984,8735,7706,8106,6827,5422,4202,2707,1296,421
02G,E38000200,113115,55807,57308,2771,3283,3160,3509,3550,3341,3124,2996,3282,4223,4493,3926,3302,3424,2947,2125,1394,676,237,44,2652,3008,2998,3685,3739,3143,3175,2979,3367,4105,4300,3853,3464,3684,3178,2372,1835,1109,512,150
02H,E38000205,325147,163314,161833,9310,10061,9207,8957,9388,10804,10845,10240,10774,13142,12676,10716,8867,9545,8081,5400,3226,1513,476,86,8663,9526,8740,8277,9197,10749,10640,9871,10125,12372,11863,10292,9101,9761,8530,6025,4119,2501,1135,346
02M,E38000060,151132,74119,77013,3498,3912,3864,4001,3625,4033,4060,3899,4040,5245,5774,5477,4934,5292,4789,3281,2442,1390,457,106,3280,3679,3656,3569,3503,3993,3928,3784,4115,5360,5815,5674,5051,5584,5142,4059,3181,2225,1102,313
02N,E38000001,158419,78333,80086,4306,4959,4843,4577,4018,4469,4509,4609,4834,5726,5940,5465,4979,4901,3919,2678,1971,1109,418,103,4109,4634,4438,4155,3985,4469,4505,4521,4914,5674,5951,5478,4898,5107,4186,3191,2662,1864,984,361
02P,E38000006,257418,128546,128872,7561,8034,7102,6824,7811,8595,8623,7952,8084,10140,9822,8664,7433,7293,5933,4074,2685,1333,490,93,7372,7443,6795,6579,7497,8568,8400,7736,7662,9757,9691,8535,7475,7276,6370,4663,3534,2221,985,313
02Q,E38000008,115648,57607,58041,3150,3320,3112,3190,3315,3645,3395,3210,3512,4269,4611,4057,3583,3678,3109,2046,1343,759,251,52,2984,3259,2882,3037,3229,3430,3317,3175,3519,4313,4432,4016,3572,3863,3210,2277,1719,1107,529,171
02R,E38000019,339227,168077,171150,11527,12722,11490,10221,9828,11325,11936,11860,11031,11929,11700,10431,8951,8139,5661,4168,2873,1556,586,143,11481,11966,11220,9963,9712,11890,12695,11756,10448,11284,11272,10365,8698,8246,6284,5039,4343,2690,1363,435
02T,E38000025,219458,109372,110086,6689,7042,6662,6400,6213,6921,7129,7050,7214,8654,8444,7339,6296,6013,4677,3076,1987,1078,408,80,6239,6897,6461,5743,6001,7112,7185,6855,7099,8442,8133,7162,6126,6161,4956,3552,2775,1908,982,297
02V,E38000094,215005,107381,107624,6745,6751,5998,5578,6212,8657,9280,8959,7832,7467,7108,6088,5146,4911,3920,2717,2225,1191,497,99,6547,6539,5615,5430,6639,8959,8825,7985,6959,7155,6954,6153,5132,5149,4347,3285,2799,1944,884,324
02W,E38000018,128204,68110,60094,5494,5917,5487,5175,6306,6592,7180,6561,4891,3950,2611,2331,1997,1319,679,717,510,274,84,35,5276,5620,5329,4932,6179,5782,5600,4747,3536,3194,2167,1977,1766,1262,803,788,603,357,123,53
02X,E38000044,317090,158192,158898,9485,10041,9036,8839,9327,10711,10883,9966,9703,11388,11902,10794,9207,8791,6997,4901,3558,1860,680,123,8988,9661,8736,8201,9222,10844,10493,9263,9213,11078,11670,10627,9143,9163,7440,5817,4682,2908,1325,424
02Y,E38000052,301587,148825,152762,7340,8033,7950,7850,7695,7907,7600,7642,8598,10777,11620,10985,10093,10915,9387,6503,4486,2426,846,172,6693,7602,7574,7510,7071,7671,7653,7756,9145,11085,11638,10880,10417,11608,9866,7225,5567,3553,1687,561
